,1,2,3,4
1,27111,51603,209.5495168,2
2,28350,37674,214.0467239,2
3,2970,51539,235.9978813,2
4,33298,57454,236.0317775,2
5,40098,50261,237.5605186,2
6,12634,32823,247.90119,2
7,29567,40210,248.0584609,2
8,15722,30368,250.1099758,2
9,26696,44705,250.8684914,2
10,46213,53823,252.0654677,2
11,17438,60001,255.097367,3
12,21247,21575,255.3389904,2
13,42194,43025,255.4975538,2
14,17695,41029,256.0878755,2
15,6783,59200,256.6398254,2
16,36264,37285,257.0758643,2
17,34531,53467,257.996124,2
18,20465,24483,259.2797717,2
19,40973,52042,260.2268241,2
20,3375,26243,260.5398242,2
21,31019,31033,261.5339366,2
22,38463,46984,265.0716884,2
23,12642,56221,266.3306216,2
24,5530,17711,266.7227024,2
25,27242,54417,267.4079281,2
26,961,7175,268.0746165,2
27,2301,5732,268.7489535,2
28,16348,39782,269.0780556,2
29,6709,47327,269.595994,2
30,8760,10123,270.3553218,2
31,29587,33108,271.1254322,2
32,15865,44986,271.3779652,2
33,19282,21568,272.9651992,2
34,30100,41908,273.0512772,2
35,35357,58511,273.5854528,2
36,39152,40971,273.6713357,2
37,30731,57613,274.9599971,2
38,10145,19145,275.3579489,2
39,26961,44627,275.4142335,2
40,23240,57310,275.6755339,2
41,19394,31839,277.066779,2
42,29651,42098,277.3211135,2
43,31871,57780,277.5572013,2
44,270,53310,279.2615262,2
45,32138,44725,279.7623992,2
46,16714,41715,279.8964094,2
47,37564,47668,280.0714195,2
48,40482,51901,280.1124774,2
49,27454,40831,281.005338,2
50,14310,56046,281.15654,2
51,2012,25774,281.9804958,2
52,11917,24289,282.453536,2
53,59521,59571,282.7790657,2
54,12040,13254,282.8709953,2
55,21680,55335,283.054765,2
56,34426,47672,283.3954834,2
57,49603,52291,283.4360598,2
58,21535,31718,283.7622244,2
59,28110,42852,284.1865584,2
60,40438,48390,284.2059113,2
61,3212,32886,284.5311934,2
62,16509,40315,285.1806445,2
63,21002,26238,285.2104486,2
64,11362,40373,285.7148929,2
65,6683,10266,286.1800133,2
66,10947,59033,286.6304241,2
67,22427,58335,287.1967966,2
68,25595,42156,287.4491259,2
69,8937,27789,288.0034722,2
70,49943,52648,288.5706153,2
71,34162,43844,288.6433786,2
72,14900,42486,288.8044321,2
73,30894,60039,289.1118584,3
74,7424,22926,289.8206342,2
75,29337,59692,290.2171601,2
76,37190,39138,290.5443168,2
77,10985,34923,290.6251882,2
78,22343,32807,291.4755564,2
79,46181,46225,291.8715471,2
80,24707,43151,292.4858971,2
81,30053,52369,292.8856432,2
82,15940,21127,292.9061283,2
83,41019,55371,292.9624549,2
84,37036,47490,292.9948805,2
85,5484,18411,293.0409528,2
86,5864,21716,293.042659,2
87,23543,31357,293.0580147,2
88,47985,47993,293.2183487,2
89,7393,25227,293.2695006,2
90,30695,30757,293.428015,2
91,9011,49807,294.0136051,2
92,17885,47442,294.1700189,2
93,13504,21173,294.4027853,2
94,19768,44813,294.4129753,2
95,31384,41518,294.596334,2
96,42506,44628,295.0322016,2
97,16608,36490,295.152503,2
98,18259,32038,295.208401,2
99,31526,35912,295.2609016,2
100,466,60041,295.6320912,3
101,20195,43249,296.3831979,2
102,2708,60008,296.5462302,3
103,46372,49308,296.7557919,2
104,28836,53966,296.7692706,2
105,2776,24848,296.9494907,2
106,21767,58773,296.9882153,2
107,15776,18270,296.9915824,2
108,5336,31570,297.2154101,2
109,18442,31848,298.1258124,2
110,50685,57929,298.1928906,2
111,4861,35908,298.47948,2
112,19880,56910,298.6837793,2
113,3295,24915,299.035115,2
114,941,993,299.4127586,2
115,46542,49961,299.4411461,2
116,2188,13272,299.7382191,2
117,44561,57785,299.7932621,2
118,44454,47709,299.8699718,2
119,30909,60005,299.8794202,3
120,45253,50561,300.1982678,2
121,38235,57775,300.5661325,2
122,36164,39888,300.6759053,2
123,2645,31993,301.0498298,2
124,40273,57169,301.1262194,2
125,638,10684,301.1478042,2
126,28718,32635,301.3054928,2
127,18019,55939,301.6173072,2
128,13892,39684,301.6255957,2
129,25918,27528,301.7051541,2
130,45197,50237,301.7581813,2
131,4089,47935,301.7880051,2
132,24879,25045,302.1489699,2
